State,date,business_apps
US,2025-01-01,497030
US,2025-02-01,440230
US,2025-03-01,497911
US,2025-04-01,583054
US,2025-05-01,425867
US,2025-06-01,0
US,2025-07-01,0
US,2025-08-01,0
US,2025-09-01,0
US,2025-10-01,0
US,2025-11-01,0
US,2025-12-01,0
US,2025-01-01,393232
US,2025-02-01,426241
US,2025-03-01,453869
US,2025-04-01,449576
US,2025-05-01,446993
US,2025-06-01,0
US,2025-07-01,0
US,2025-08-01,0
US,2025-09-01,0
US,2025-10-01,0
US,2025-11-01,0
US,2025-12-01,0
NO,2025-01-01,74447
NO,2025-02-01,62733
NO,2025-03-01,71113
NO,2025-04-01,80368
NO,2025-05-01,60715
NO,2025-06-01,0
NO,2025-07-01,0
NO,2025-08-01,0
NO,2025-09-01,0
NO,2025-10-01,0
NO,2025-11-01,0
NO,2025-12-01,0
NO,2025-01-01,57153
NO,2025-02-01,62357
NO,2025-03-01,64739
NO,2025-04-01,64063
NO,2025-05-01,63992
NO,2025-06-01,0
NO,2025-07-01,0
NO,2025-08-01,0
NO,2025-09-01,0
NO,2025-10-01,0
NO,2025-11-01,0
NO,2025-12-01,0
MW,2025-01-01,81058
MW,2025-02-01,71931
MW,2025-03-01,81611
MW,2025-04-01,98561
MW,2025-05-01,70242
MW,2025-06-01,0
MW,2025-07-01,0
MW,2025-08-01,0
MW,2025-09-01,0
MW,2025-10-01,0
MW,2025-11-01,0
MW,2025-12-01,0
MW,2025-01-01,61853
MW,2025-02-01,69633
MW,2025-03-01,73388
MW,2025-04-01,74406
MW,2025-05-01,74276
MW,2025-06-01,0
MW,2025-07-01,0
MW,2025-08-01,0
MW,2025-09-01,0
MW,2025-10-01,0
MW,2025-11-01,0
MW,2025-12-01,0
SO,2025-01-01,211113
SO,2025-02-01,193540
SO,2025-03-01,215522
SO,2025-04-01,257200
SO,2025-05-01,189152
SO,2025-06-01,0
SO,2025-07-01,0
SO,2025-08-01,0
SO,2025-09-01,0
SO,2025-10-01,0
SO,2025-11-01,0
SO,2025-12-01,0
SO,2025-01-01,169865
SO,2025-02-01,184562
SO,2025-03-01,196652
SO,2025-04-01,196774
SO,2025-05-01,198443
SO,2025-06-01,0
SO,2025-07-01,0
SO,2025-08-01,0
SO,2025-09-01,0
SO,2025-10-01,0
SO,2025-11-01,0
SO,2025-12-01,0
WE,2025-01-01,130412
WE,2025-02-01,112026
WE,2025-03-01,129665
WE,2025-04-01,146925
WE,2025-05-01,105758
WE,2025-06-01,0
WE,2025-07-01,0
WE,2025-08-01,0
WE,2025-09-01,0
WE,2025-10-01,0
WE,2025-11-01,0
WE,2025-12-01,0
WE,2025-01-01,104361
WE,2025-02-01,109689
WE,2025-03-01,119090
WE,2025-04-01,114333
WE,2025-05-01,110282
WE,2025-06-01,0
WE,2025-07-01,0
WE,2025-08-01,0
WE,2025-09-01,0
WE,2025-10-01,0
WE,2025-11-01,0
WE,2025-12-01,0
AL,2025-01-01,5749
AL,2025-02-01,5218
AL,2025-03-01,5916
AL,2025-04-01,6795
AL,2025-05-01,5111
AL,2025-06-01,0
AL,2025-07-01,0
AL,2025-08-01,0
AL,2025-09-01,0
AL,2025-10-01,0
AL,2025-11-01,0
AL,2025-12-01,0
AL,2025-01-01,4040
AL,2025-02-01,4584
AL,2025-03-01,5051
AL,2025-04-01,5241
AL,2025-05-01,5406
AL,2025-06-01,0
AL,2025-07-01,0
AL,2025-08-01,0
AL,2025-09-01,0
AL,2025-10-01,0
AL,2025-11-01,0
AL,2025-12-01,0
AK,2025-01-01,869
AK,2025-02-01,770
AK,2025-03-01,1025
AK,2025-04-01,1338
AK,2025-05-01,807
AK,2025-06-01,0
AK,2025-07-01,0
AK,2025-08-01,0
AK,2025-09-01,0
AK,2025-10-01,0
AK,2025-11-01,0
AK,2025-12-01,0
AK,2025-01-01,653
AK,2025-02-01,753
AK,2025-03-01,914
AK,2025-04-01,995
AK,2025-05-01,817
AK,2025-06-01,0
AK,2025-07-01,0
AK,2025-08-01,0
AK,2025-09-01,0
AK,2025-10-01,0
AK,2025-11-01,0
AK,2025-12-01,0
AZ,2025-01-01,11676
AZ,2025-02-01,10203
AZ,2025-03-01,11077
AZ,2025-04-01,13023
AZ,2025-05-01,9566
AZ,2025-06-01,0
AZ,2025-07-01,0
AZ,2025-08-01,0
AZ,2025-09-01,0
AZ,2025-10-01,0
AZ,2025-11-01,0
AZ,2025-12-01,0
AZ,2025-01-01,9067
AZ,2025-02-01,10026
AZ,2025-03-01,10450
AZ,2025-04-01,10559
AZ,2025-05-01,10195
AZ,2025-06-01,0
AZ,2025-07-01,0
