State,total_ev_level1_ports,total_ev_level2_ports,total_ev_dc_fast_ports,total_ev_stations,ev_port_density
MS,68,327,193,190,588
MT,1,187,202,128,390
WA,137,5289,1412,2481,6838
TN,34,1986,749,1041,2769
LA,33,497,307,287,837
KS,14,953,286,545,1253
PA,49,3454,1298,1817,4801
PR,0,51,0,28,51
ND,0,94,108,90,202
MN,68,1774,585,905,2427
ID,4,364,210,201,578
MD,29,3097,933,1402,4059
NY,36,11323,1904,4245,13263
TX,67,6653,3269,3423,9989
NV,16,1545,806,598,2367
SC,13,1112,619,616,1744
VT,21,952,162,441,1135
WI,9,1153,591,679,1753
IN,8,1078,682,609,1768
AK,3,95,27,62,125
NC,33,3702,1341,1785,5076
RI,81,685,107,339,873
MI,13,3577,1042,1743,4632
IA,4,635,426,415,1065
NM,9,513,376,352,898
IL,50,2893,1370,1451,4313
WV,19,309,165,171,493
CO,79,4968,1171,2353,6218
DE,5,373,236,219,614
MO,13,2401,585,1291,2999
KY,19,641,287,321,947
AL,16,893,665,520,1574
CT,60,2629,546,1071,3235
OH,38,3312,1075,1709,4425
AR,3,772,148,346,923
NE,1,439,180,283,620
OR,82,2537,959,1338,3578
GA,112,3981,1514,2005,5607
AZ,11,2912,1124,1334,4047
OK,5,652,945,381,1602
NJ,17,3031,1390,1410,4438
WY,3,146,144,106,293
FL,348,8060,2857,3485,11265
ME,21,976,291,528,1288
NH,5,460,238,285,703
VA,193,3625,1319,1709,5137
MA,48,7407,1156,3453,8611
DC,22,1040,49,351,1111
UT,15,1937,386,884,2338
HI,23,787,83,369,893
CA,608,46758,13114,17338,60480
SD,1,132,127,96,260
